ID,StationNumber,RowNumber,ProcessName,CriticalStatus,Distance,ProjectID,CensorDistance,FlightBar
97,24,1,,,0,9,,0
98,25,1,,,0,9,,0
99,26,1,,,0,9,,0
100,27,1,,,0,9,,0
101,28,1,,,0,9,,0
102,29,1,,,0,9,,0
103,30,1,,,0,9,,0
104,31,1,,,0,9,,0
105,31,2,,,0,9,,0
106,32,2,,,0,9,,0
107,33,2,,,0,9,,0
108,34,2,,,0,9,,0
109,35,2,,,0,9,,0
110,36,2,,,0,9,,0
111,37,2,,,0,9,,0
112,38,2,,,0,9,,0
113,39,2,,,0,9,,0
114,40,2,,,0,9,,0
115,41,2,,,0,9,,0
116,42,2,,,0,9,,0
117,43,2,,,0,9,,0
118,44,2,,,0,9,,0
119,45,2,,,0,9,,0
120,46,2,,,0,9,,0
6,5,1,Low Critical,,2755,2,,0
121,47,2,,,0,9,,0
122,48,2,,,0,9,,0
123,49,2,,,0,9,,0
124,50,2,,,0,9,,0
125,51,2,,,0,9,,0
126,52,2,,,0,9,,0
127,53,2,,,0,9,,0
128,54,2,,,0,9,,0
129,55,2,,,0,9,,0
74,1,1,Loading,Low,0,9,,0
1,1,1,Loading,,0,2,1867316991,0
263,1,1,Loading,Low,0,3,0,0
264,2,1,PreCleaning,Low,800,3,50,0
265,3,1,Knockout Degreasing,Low,1600,3,60,0
266,4,1,Degreasing,Low,2400,3,70,0
267,5,1,Descaling,Low,3200,3,25,0
268,6,1,CFWR-1,Low,4000,3,30,0
269,7,1,CFWR-2,Low,4800,3,25,0
270,8,1,Acid Pickling-1,High,5600,3,12,0
271,9,1,Acid Pickling-2,High,6400,3,15,0
272,10,1,CFWR-3,High,7200,3,20,0
273,11,1,CFWR-4,Medium,8000,3,25,0
274,12,1,Anodic Cleaning,Low,8800,3,30,0
275,13,1,CFWR-5,Low,9600,3,35,0
276,14,1,CFWR-6,Low,10400,3,30,0
278,16,1,Acid Dip,High,12000,3,40,0
279,17,1,CFWR-7,High,12800,3,30,0
280,18,1,CFWR-8,Medium,13600,3,50,0
281,19,1,Activation,High,14400,3,50,1
282,20,1,Transfer Station-2,Low,15200,3,40,0
