seq_id,project_id,wagon_no,step_no,command,station_no,wait_sec,critical_status,total_time_sec,valid
6,6,Wagon 4,26,Put On,49,,,12650,TRUE
6,6,Wagon 4,27,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 4,28,Get From,49,,,12650,TRUE
6,6,Wagon 4,29,Put On,50,,,11500,TRUE
6,6,Wagon 4,30,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 4,31,Get From,50,,,11500,TRUE
6,6,Wagon 4,32,Put On,51,,,10350,TRUE
6,6,Wagon 4,33,Wait For Sec,10,,Low,11500,TRUE
6,6,Wagon 4,34,Get From,51,,,10350,TRUE
6,6,Wagon 4,35,Put On,52,,,9200,TRUE
7,2,Wagon 1,21,Put On,5,,High,2755,TRUE
7,2,Wagon 2,2,Put On,14,1767046911,,4822,TRUE
7,2,Wagon 2,2,Put On,14,1767046911,,4822,TRUE
7,2,Wagon 2,3,Get From,11,0,Low,0,TRUE
7,2,Wagon 2,5,Put On,12,1750138623,,6287,TRUE
7,2,Wagon 2,5,Put On,12,1750138623,,6287,TRUE
7,2,Wagon 2,7,Put On,15,1767046911,,3966,TRUE
7,2,Wagon 2,7,Put On,15,1767046911,,3966,TRUE
7,2,Wagon 2,10,Put On,16,0,,0,TRUE
7,2,Wagon 2,10,Put On,16,0,,0,TRUE
7,2,Wagon 2,13,Put On ,17,0,,0,TRUE
7,2,Wagon 2,13,Put On ,17,0,,0,TRUE
7,2,Wagon 2,15,Put On ,20,,Low,350,TRUE
7,2,Wagon 2,15,Put On ,20,,Low,350,TRUE
7,2,Wagon 2,16,Put On ,18,0,,0,TRUE
7,2,Wagon 2,16,Put On ,18,0,,0,TRUE
7,2,Wagon 2,19,Put On,21,,Low,0,TRUE
7,2,Wagon 2,19,Put On,21,,Low,0,TRUE
7,2,Wagon 2,20,Put On,15,1767046911,,3966,TRUE
7,2,Wagon 2,20,Put On,15,1767046911,,3966,TRUE
7,2,Wagon 1,6,Get From,2,0,High,0,TRUE
7,2,Wagon 1,7,Set CT Fwd,1,1867316991,High,0,TRUE
7,2,Wagon 1,15,Wait For Sec,30,0,,0,TRUE
7,2,Wagon 1,18,Wait For Sec,30,0,,0,TRUE
7,2,Wagon 1,19,Get From,10,1767046911,Low,6255,TRUE
7,2,Wagon 1,22,Set CT Rev,2,0,High,0,TRUE
7,2,Wagon 2,1,Get From,12,1750138623,,6287,TRUE
7,2,Wagon 2,1,Get From,12,1750138623,,6287,TRUE
7,2,Wagon 2,3,Get From,11,0,Low,0,TRUE
7,2,Wagon 2,4,Set CT Rev,2,0,High,0,TRUE
7,2,Wagon 2,6,Get From,14,1767046911,,4822,TRUE
7,2,Wagon 2,6,Get From,14,1767046911,,4822,TRUE
7,2,Wagon 2,8,Wait For Sec,30,0,,0,TRUE
7,2,Wagon 2,8,Wait For Sec,30,0,,0,TRUE
7,2,Wagon 2,9,Get From,15,1767046911,,3966,TRUE
7,2,Wagon 2,9,Get From,15,1767046911,,3966,TRUE
7,2,Wagon 1,1,Get From,6,1767046911,High,3740,TRUE
7,2,Wagon 1,3,Get From,2,0,High,0,TRUE
7,2,Wagon 1,2,Put On,7,0,Low,0,TRUE
7,2,Wagon 1,4,Put On,7,0,Low,0,TRUE
7,2,Wagon 1,4,Get From,5,,High,2755,TRUE
7,2,Wagon 1,5,Put On ,8,1767046911,High,5105,TRUE
7,2,Wagon 1,8,Put On,5,,High,2755,TRUE
7,2,Wagon 1,9,Get From,7,0,Low,0,TRUE
7,2,Wagon 1,10,Put On,8,1767046911,High,5105,TRUE
7,2,Wagon 1,11,Get From,2,0,High,0,TRUE
7,2,Wagon 1,12,Put On ,8,1767046911,High,5105,TRUE
7,2,Wagon 1,13,Get From,8,1767046911,High,5105,TRUE
7,2,Wagon 1,14,Put On ,9,1767046911,High,5705,TRUE
7,2,Wagon 1,16,Get From,9,1767046911,High,5705,TRUE
7,2,Wagon 1,17,Put On,10,1767046911,Low,6255,TRUE
7,2,Wagon 1,20,Put On,11,0,Low,0,TRUE
7,2,Wagon 2,11,Wait For Sec,45,0,,0,TRUE
7,2,Wagon 2,11,Wait For Sec,45,0,,0,TRUE
7,2,Wagon 2,12,Get From,16,0,,0,TRUE
7,2,Wagon 2,12,Get From,16,0,,0,TRUE
7,2,Wagon 2,14,Get From,21,,Low,0,TRUE
7,2,Wagon 2,14,Get From,21,,Low,0,TRUE
7,2,Wagon 2,17,Set CT Rev,1,1867316991,High,0,TRUE
7,2,Wagon 2,18,Get From,18,0,,0,TRUE
7,2,Wagon 2,18,Get From,18,0,,0,TRUE
8,3,Wagon 1,1,Get From,1,0,High,0,TRUE
8,3,Wagon 1,2,Put On,2,50,High,800,TRUE
8,3,Wagon 1,4,Get From,6,30,High,4000,TRUE
8,3,Wagon 1,5,Put On,1,0,High,0,TRUE
8,3,Wagon 1,7,Get From,5,25,High,3200,TRUE
8,3,Wagon 1,10,Put On,6,30,High,4000,TRUE
8,3,Wagon 1,11,Wait For Sec,30,20,,23200,TRUE
8,3,Wagon 1,14,Put On,7,25,Low,4800,TRUE
8,3,Wagon 1,17,Put On,5,25,High,3200,TRUE
8,3,Wagon 1,18,Set Int,4,70,High,2400,TRUE
8,3,Wagon 1,21,Put On,4,70,High,2400,TRUE
8,3,Wagon 1,24,Put On,3,60,High,1600,TRUE
8,3,Wagon 1,25,Put On,2,50,High,800,TRUE
8,3,Wagon 2,3,Set Int,1,0,High,0,TRUE
8,3,Wagon 2,4,Put On,10,20,Low,7200,TRUE
8,3,Wagon 2,5,Wait For Int,2,50,High,800,TRUE
8,3,Wagon 2,8,Put On,8,12,High,5600,TRUE
8,3,Wagon 2,9,Set Int,3,60,High,1600,TRUE
8,3,Wagon 2,10,Put On,11,25,Low,8000,TRUE
8,3,Wagon 2,11,Wait For Int,9,15,High,6400,TRUE
8,3,Wagon 2,14,Put On,13,35,,9600,TRUE
